k,j,RSS,RSS_normalized
27,8,6855759.404928681,0.5355330076911201
28,8,6651518.406963205,0.5195788603131279
29,8,6728387.57665997,0.5255834434985929
30,8,6566490.730900646,0.51293698092249
1,9,12787775.798634905,1.0
2,9,11759668.500500746,0.9196023362996473
3,9,10965884.59303591,0.8575286872175627
4,9,10415230.365772292,0.8144677017940929
5,9,10101561.994663458,0.7899389349429945
6,9,9675186.114353124,0.7565964767216165
7,9,9161993.527534727,0.7164649796654059
8,9,9045304.858028857,0.7073399628256263
9,9,8651851.940886086,0.6765720698520278
10,9,8377641.897066229,0.6551289316442772
11,9,8349482.057645361,0.6529268411584654
12,9,7952512.922327697,0.6218839810420064
13,9,7809322.399744737,0.6106865277211367
14,9,7719766.312610977,0.6036832701926994
15,9,7681666.735633324,0.6007038953915146
16,9,7712251.206689817,0.603095591300021
17,9,7557903.577986764,0.5910256558293405
18,9,7424569.540110143,0.5805989764774195
19,9,7237130.681940519,0.5659413173878981
20,9,7266411.881655205,0.5682310978920114
21,9,7130604.7022596765,0.5576110196599527
22,9,7182609.266227313,0.5616777600209457
23,9,7097078.325586132,0.5549892676679352
24,9,7094473.615481917,0.554785580166275
25,9,6974045.922777895,0.5453681729016843
26,9,6969362.995408012,0.5450019694708748
27,9,6697655.746366374,0.5237545490187081
28,9,6674450.090858474,0.5219398741390955
29,9,6915870.487680896,0.5408188723811662
30,9,6860716.955742772,0.5365058837264846
